Name;Instance count;Size (bytes)
java.math.RoundingMode;8;192
sun.reflect.generics.tree.FormalTypeParameter[ ];8;144
scala.actors.scheduler.ForkJoinScheduler$$anon$2;7;112
com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$CompositeMapping;7;336
scala.actors.Actor$$anon$5;7;280
sun.java2d.windows.GDIBlitLoops;7;448
sun.misc.PerfCounter;7;168
com.jprofiler.agent.n;7;112
java.util.Collections$UnmodifiableRandomAccessList;7;168
scala.actors.ActorCanReply$$anonfun$$bang$qmark$1;7;112
sun.management.counter.Units;7;168
scala.actors.remote.DelegateActor$$anonfun$act$1$$anonfun$apply$1;7;112
scala.actors.Actor$$anonfun$1;7;168
java.util.Properties;7;336
java.nio.DirectLongBufferU;7;392
sun.java2d.loops.RenderLoops;7;448
scala.actors.Channel$$anonfun$receiveWithin$1;7;168
sun.java2d.StateTrackableDelegate$1;6;96
java.awt.image.BufferedImage;6;288
sun.java2d.pipe.Region;6;240
sun.font.FontFamily;6;240
sun.font.SunFontManager$FamilyDescription;6;288
scala.concurrent.forkjoin.ForkJoinWorkerThread;6;912
sun.java2d.pipe.AAShapePipe;6;96
sun.reflect.generics.tree.MethodTypeSignature;6;192
sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl;6;144
sun.reflect.generics.repository.MethodRepository;6;240
sun.reflect.generics.tree.TypeSignature[ ];6;96
sun.reflect.generics.scope.MethodScope;6;144
sun.awt.image.BufImgSurfaceData;6;432
sun.java2d.pipe.TextRenderer;6;96
scala.concurrent.forkjoin.ForkJoinTask[ ];6;196704
sun.java2d.d3d.D3DMaskBlit;6;336
java.util.concurrent.atomic.AtomicLong;6;144
scala.concurrent.forkjoin.LinkedTransferQueue$PaddedAtomicReference;6;480
java.lang.RuntimePermission;6;144
java.awt.geom.Rectangle2D$Double;6;288
java.awt.image.DirectColorModel;6;864
java.lang.annotation.ElementType[ ];5;168
sun.management.MemoryPoolImpl$PoolSensor;5;200
sun.awt.image.IntegerInterleavedRaster;5;520
java.awt.image.SinglePixelPackedSampleModel;5;240
java.util.Stack;5;160
sun.net.www.protocol.jar.URLJarFile;5;400
sun.java2d.SunGraphics2D;5;1040
java.util.Collections$SynchronizedSet;5;120
sun.java2d.loops.DrawParallelogram;5;240
sun.nio.fs.WindowsPathType;5;120
sun.awt.FontDescriptor[ ][ ];5;160
sun.management.MemoryPoolImpl;5;280
sun.management.MemoryPoolImpl$CollectionSensor;5;200
sun.java2d.loops.FillParallelogram;5;240
java.util.Collections$UnmodifiableMap;5;160
java.security.Permissions;5;160
scala.collection.parallel.ForkJoinTaskSupport;5;120
com.siigna.app.view.Graphics;5;120
java.awt.image.DataBufferInt;5;240
com.siigna.app.view.Graphics$$anonfun$1;5;80
scala.collection.parallel.immutable.ParVector$$anon$1;4;320
java.awt.AWTKeyStroke[ ];4;80
scala.collection.parallel.AdaptiveWorkStealingForkJoinTasks$TaskImpl;4;128
java.awt.Dialog$ModalityType;4;96
java.util.Collections$SingletonMap;4;160
javax.management.StandardEmitterMBean;4;128
scala.collection.parallel.immutable.LazyParVectorCombiner;4;96
java.net.InetAddress;4;128
java.nio.HeapByteBuffer;4;192
sun.reflect.annotation.AnnotationType;4;128
java.lang.String[ ][ ];4;216
java.awt.Queue;4;96
javax.management.MBeanNotificationInfo;4;128
com.jprofiler.agent.ThreadManager;4;320
java.awt.BufferCapabilities$FlipContents;4;96
sun.misc.Cleaner;4;160
com.siigna.module.base.paperHeader;4;224
scala.collection.parallel.ParIterableLike$Foreach;4;128
java.util.Collections$UnmodifiableSet;4;64
sun.net.www.protocol.jar.Handler;4;64
java.math.MathContext;4;96
com.siigna.util.event.MouseExit;4;128
com.jprofiler.agent.probe.l;4;96
com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$ArrayMapping;4;128
java.awt.AWTKeyStroke;4;96
scala.actors.Reactor$$anonfun$2;4;64
com.jprofiler.agent.probe.a.a.t[ ];4;128
scala.collection.Parallelizable$$anonfun$par$1;4;64
scala.util.control.Breaks$$anon$1;4;96
scala.collection.immutable.VectorIterator;4;256
com.jprofiler.api.agent.probe.Unit;4;64
java.util.IdentityHashMap;4;160
sun.java2d.loops.FontInfo;4;224
com.siigna.util.event.MouseMove;4;128
sun.reflect.DelegatingMethodAccessorImpl;4;64
java.math.BigInteger[ ];4;440
scala.collection.parallel.immutable.ParVector;4;96
com.siigna.app.model.shape.PolylineShape$$anonfun$8;4;64
scala.collection.parallel.immutable.LazyParVectorCombiner$$anonfun$result$1;4;64
scala.collection.parallel.Tasks$Task$$anonfun$tryLeaf$1;4;96
scala.collection.parallel.Tasks$Task$$anonfun$tryLeaf$2;4;64
scala.util.PropertiesTrait$$anonfun$isJavaAtLeast$1;4;64
sun.misc.URLClassPath;4;160
java.awt.Point;4;96
sun.java2d.StateTrackable$State;4;96
sun.java2d.d3d.D3DSurfaceData$D3DWindowSurfaceData[ ];4;80
java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject;4;96
java.beans.PropertyChangeSupport$PropertyChangeListenerMap;4;64
com.siigna.app.view.View$$anonfun$1;3;48
com.jprofiler.api.agent.ProbeObjectType;3;48
sun.java2d.pipe.PixelToShapeConverter;3;48
sun.java2d.pipe.hw.ExtendedBufferCapabilities$VSyncType;3;72
com.siigna.util.event.MouseEnter;3;96
java.lang.annotation.RetentionPolicy;3;72
java.beans.PropertyChangeSupport;3;72
javax.management.openmbean.OpenMBeanOperationInfoSupport;3;168
java.io.FilePermissionCollection;3;72
sun.nio.fs.NativeBuffer;3;96
scala.util.DynamicVariable$$anon$1;3;72
java.awt.ComponentOrientation;3;48
sun.text.normalizer.CharTrie$FriendAgent;3;48
sun.font.GlyphLayout$LayoutEngineKey;3;72
java.net.InetAddress$CacheEntry;3;72
java.beans.PropertyChangeListener[ ];3;64
sun.awt.FontDescriptor;3;120
java.net.Proxy$Type;3;72
sun.text.normalizer.CharTrie;3;144
java.lang.StringCoding$StringEncoder;3;96
com.jprofiler.agent.probe.b.d;3;48
com.sun.nio.file.ExtendedOpenOption;3;72
sun.java2d.loops.GraphicsPrimitiveMgr$PrimitiveSpec;3;48
sun.font.EAttribute[ ];3;336
scala.util.DynamicVariable;3;72
java.awt.Window$Type;3;72
java.io.OutputStreamWriter;3;96
scala.collection.IndexedSeqLike$Elements;3;96
sun.nio.fs.NativeBuffer$Deallocator;3;72
sun.awt.RepaintArea;3;48
sun.nio.cs.UTF_8$Decoder;3;120
sun.text.normalizer.Trie$DefaultGetFoldingOffset;3;48
java.text.AttributedCharacterIterator$Attribute;3;48
sun.nio.cs.StreamEncoder;3;168
com.siigna.util.geom.TransformationMatrix$$anonfun$concatenate$1;3;48
scala.actors.ActorTask;3;144
java.nio.charset.CodingErrorAction;3;48
java.security.BasicPermissionCollection;3;96
java.util.LinkedHashSet;3;48
java.net.InetAddress[ ];3;72
java.io.FilePermission;3;96
sun.reflect.generics.tree.FormalTypeParameter;3;72
java.awt.ColorPaintContext;3;72
sun.net.www.protocol.http.HttpURLConnection$TunnelState;3;72
sun.java2d.pipe.SpanClipRenderer;3;48
java.io.BufferedWriter;3;144
sun.awt.SunDisplayChanger;3;48
sun.java2d.pipe.AlphaPaintPipe$TileContext;3;144
java.awt.Rectangle[ ];3;96
sun.awt.EventQueueItem[ ];3;120
java.awt.EventFilter$FilterAction;3;72
java.nio.file.StandardCopyOption;3;72
java.awt.ImageCapabilities;3;48
$Proxy2;3;48
$Proxy0;3;48
java.awt.Dialog$ModalExclusionType;3;72
sun.reflect.generics.reflectiveObjects.TypeVariableImpl;3;96
com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$EnumMapping;3;96
java.awt.RenderingHints;3;48
com.jprofiler.agent.probe.y;3;48
sun.font.SunLayoutEngine;3;72
sun.java2d.d3d.D3DSurfaceData;3;312
java.lang.StringBuffer;3;72
com.sun.jmx.mbeanserver.MBeanIntrospector$MBeanInfoMap;2;96
sun.java2d.d3d.D3DGeneralBlit;2;112
com.siigna.app.view.View$$anonfun$5;2;32
sun.reflect.generics.scope.ClassScope;2;48
java.net.ServerSocket;2;48
sun.java2d.loops.Blit$GeneralMaskBlit;2;96
com.siigna.util.RichColorString;2;32
java.awt.Insets;2;64
com.sun.jmx.mbeanserver.ClassLoaderRepositorySupport$LoaderEntry[ ];2;40
com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$TabularMapping;2;80
java.net.InetAddress$Cache;2;48
java.security.MessageDigest$Delegate;2;64
java.io.BufferedOutputStream;2;48
com.siigna.util.event.EndPoints$$anonfun$paint$1;2;48
java.io.ExpiringCache$1;2;112
java.lang.annotation.Annotation[ ];2;32
java.awt.Cursor$CursorDisposer;2;48
sun.reflect.generics.tree.ClassSignature;2;48
java.lang.StackTraceElement[ ];2;32
java.lang.Thread[ ];2;160
java.util.logging.Handler[ ];2;32
java.awt.geom.Path2D$Float$TxIterator;2;64
sun.security.jca.ProviderList;2;48
java.nio.charset.CoderResult;2;48
java.lang.ThreadGroup;2;96
java.nio.file.StandardOpenOption[ ];2;112
java.util.concurrent.locks.ReentrantReadWriteLock$WriteLock;2;32
