"Name";"Instance count";"Size (bytes)"
"java.util.concurrent.atomic.AtomicLong";5;120
"java.util.zip.Inflater";5;160
"sun.java2d.loops.FillParallelogram";5;240
"java.net.Socket";5;160
"java.util.Collections$UnmodifiableMap";5;160
"scala.actors.Channel";5;80
"short[ ][ ]";5;160
"java.awt.AWTKeyStroke[ ]";4;80
"sun.java2d.StateTrackableDelegate$1";4;64
"java.awt.Dialog$ModalityType";4;96
"java.util.Collections$SingletonMap";4;160
"javax.management.StandardEmitterMBean";4;128
"java.net.InetAddress";4;128
"java.nio.HeapByteBuffer";4;192
"sun.reflect.annotation.AnnotationType";4;128
"java.lang.String[ ][ ]";4;216
"java.awt.Queue";4;96
"javax.management.MBeanNotificationInfo";4;128
"java.awt.BufferCapabilities$FlipContents";4;96
"java.util.concurrent.locks.AbstractQueuedSynchronizer$Node";4;128
"java.util.Collections$UnmodifiableSet";4;64
"sun.net.www.protocol.jar.URLJarFile";4;320
"sun.net.www.protocol.jar.Handler";4;64
"java.math.MathContext";4;96
"com.jprofiler.agent.probe.l";4;96
"com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$ArrayMapping";4;128
"java.awt.AWTKeyStroke";4;96
"scala.actors.Reactor$$anonfun$2";4;64
"com.jprofiler.agent.probe.a.a.t[ ]";4;128
"com.jprofiler.api.agent.probe.Unit";4;64
"java.util.IdentityHashMap";4;160
"sun.reflect.DelegatingMethodAccessorImpl";4;64
"java.math.BigInteger[ ]";4;440
"sun.misc.URLClassPath";4;160
"sun.java2d.StateTrackable$State";4;96
"java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject";4;96
"java.beans.PropertyChangeSupport$PropertyChangeListenerMap";4;64
"com.jprofiler.api.agent.ProbeObjectType";3;48
"sun.java2d.pipe.PixelToShapeConverter";3;48
"java.net.ServerSocket";3;72
"sun.java2d.pipe.hw.ExtendedBufferCapabilities$VSyncType";3;72
"java.lang.annotation.RetentionPolicy";3;72
"java.beans.PropertyChangeSupport";3;72
"javax.management.openmbean.OpenMBeanOperationInfoSupport";3;168
"java.io.FilePermissionCollection";3;72
"scala.util.DynamicVariable$$anon$1";3;72
"java.awt.ComponentOrientation";3;48
"com.siigna.util.event.ModifierKeys";3;48
"java.beans.PropertyChangeListener[ ]";3;64
"sun.awt.FontDescriptor";3;120
"java.net.Proxy$Type";3;72
"com.jprofiler.agent.probe.b.d";3;48
"sun.font.EAttribute[ ]";3;336
"scala.util.DynamicVariable";3;72
"java.awt.Window$Type";3;72
"java.io.OutputStreamWriter";3;96
"com.jprofiler.agent.ThreadManager";3;240
"scala.collection.IndexedSeqLike$Elements";3;96
"sun.awt.RepaintArea";3;48
"java.text.AttributedCharacterIterator$Attribute";3;48
"sun.nio.cs.StreamEncoder";3;168
"java.nio.charset.CodingErrorAction";3;48
"java.security.BasicPermissionCollection";3;96
"java.io.FilePermission";3;96
"sun.reflect.generics.tree.FormalTypeParameter";3;72
"java.awt.Font";3;216
"sun.java2d.pipe.SpanClipRenderer";3;48
"java.io.BufferedWriter";3;144
"sun.awt.SunDisplayChanger";3;48
"java.security.Permissions";3;96
"java.awt.Rectangle[ ]";3;96
"sun.awt.EventQueueItem[ ]";3;120
"sun.reflect.NativeMethodAccessorImpl";3;72
"java.awt.EventFilter$FilterAction";3;72
"java.awt.ImageCapabilities";3;48
"$Proxy2";3;48
"$Proxy0";3;48
"java.awt.Dialog$ModalExclusionType";3;72
"sun.reflect.generics.reflectiveObjects.TypeVariableImpl";3;96
"com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$EnumMapping";3;96
"com.jprofiler.agent.probe.y";3;48
"sun.java2d.d3d.D3DSurfaceData";3;312
"java.lang.StringBuffer";3;72
"com.sun.jmx.mbeanserver.MBeanIntrospector$MBeanInfoMap";2;96
"sun.java2d.d3d.D3DGeneralBlit";2;112
"sun.reflect.generics.scope.ClassScope";2;48
"sun.java2d.loops.Blit$GeneralMaskBlit";2;96
"java.awt.Insets";2;64
"com.sun.jmx.mbeanserver.ClassLoaderRepositorySupport$LoaderEntry[ ]";2;40
"com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$TabularMapping";2;80
"java.net.InetAddress$Cache";2;48
"java.io.BufferedOutputStream";2;48
"java.io.ExpiringCache$1";2;112
"java.lang.annotation.Annotation[ ]";2;32
"java.awt.Cursor$CursorDisposer";2;48
"sun.reflect.generics.tree.ClassSignature";2;48
"java.lang.StackTraceElement[ ]";2;32
"java.lang.Thread[ ]";2;160
"java.util.logging.Handler[ ]";2;32
"java.net.InetAddress$CacheEntry";2;48
"sun.security.jca.ProviderList";2;48
"java.nio.charset.CoderResult";2;48
"java.lang.ThreadGroup";2;96
"java.util.concurrent.locks.ReentrantReadWriteLock$WriteLock";2;32
"java.lang.StringCoding$StringEncoder";2;64
"java.util.concurrent.locks.ReentrantReadWriteLock$ReadLock";2;32
"sun.misc.NativeSignalHandler";2;48
"java.lang.management.MemoryType";2;48
"java.lang.Shutdown$Lock";2;32
"com.sun.jmx.mbeanserver.ClassLoaderRepositorySupport$LoaderEntry";2;48
"java.awt.LightweightDispatcher";2;96
"sun.management.ManagementFactoryHelper$1";2;48
"sun.reflect.generics.tree.ClassTypeSignature[ ]";2;40
"java.util.ResourceBundle$LoaderReference";2;64
"java.util.jar.Attributes";2;32
"sun.java2d.d3d.D3DGraphicsConfig";2;80
"java.lang.annotation.RetentionPolicy[ ]";2;64
"sun.java2d.pipe.SpanShapeRenderer$Composite";2;32
"scala.concurrent.forkjoin.ForkJoinWorkerThread[ ]";2;56
"java.lang.InheritableThreadLocal";2;32
"java.io.InvalidClassException";2;80
"java.lang.VirtualMachineError";2;64
"java.lang.Boolean";2;32
"sun.java2d.loops.MaskBlit$General";2;144
"sun.java2d.d3d.D3DVolatileSurfaceManager";2;112
"java.util.concurrent.locks.ReentrantReadWriteLock$Sync$ThreadLocalHoldCounter";2;32
"sun.java2d.pipe.Region$ImmutableRegion";2;80
"java.awt.Dimension";2;48
"sun.misc.Signal";2;48
"java.util.ResourceBundle$CacheKey";2;112
"sun.security.jca.ProviderList$3";2;48
"sun.java2d.d3d.D3DContext$D3DContextCaps";2;48
"java.net.InetAddress$Cache$Type";2;48
"java.awt.BorderLayout";2;112
"javax.management.MBeanConstructorInfo";2;64
"sun.reflect.generics.repository.ClassRepository";2;64
