"Name";"Instance count";"Size (bytes)"
"java.util.jar.JarFile$JarFileEntry";8;640
"byte[ ][ ][ ]";8;192
"com.siigna.app.view.Graphics$$anonfun$draw$1";8;128
"sun.java2d.d3d.D3DSwToSurfaceScale";8;384
"com.siigna.app.model.shape.PolylineShape$PolylineShapeClosed$$anonfun$shapes$1";8;192
"sun.text.bidi.BidiBase$ImpTabPair";8;192
"java.awt.geom.ArcIterator";8;704
"com.siigna.util.geom.Line2D";8;192
"java.awt.geom.Arc2D$Double";8;512
"sun.reflect.generics.factory.CoreReflectionFactory";8;192
"javax.management.openmbean.OpenMBeanParameterInfoSupport";8;448
"com.siigna.util.collection.AttributesLike$$anonfun$vector2D$1";8;128
"com.siigna.util.event.MouseExit";8;256
"sun.java2d.loops.RenderCache$Entry[ ]";8;688
"sun.java2d.loops.RenderCache";8;128
"sun.misc.ProxyGenerator$PrimitiveTypeInfo";8;256
"sun.java2d.d3d.D3DSwToTextureBlit";8;384
"com.jprofiler.api.agent.probe.DataType";8;128
"java.math.RoundingMode";8;192
"com.siigna.app.model.shape.TextShape$$anonfun$alignment$1";8;128
"sun.reflect.generics.tree.FormalTypeParameter[ ]";8;144
"com.siigna.module.cad.create.Input";7;616
"com.siigna.util.event.MouseEnter";7;224
"com.siigna.util.event.End";7;168
"scala.concurrent.forkjoin.ForkJoinWorkerThread";7;1064
"com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$CompositeMapping";7;336
"sun.java2d.windows.GDIBlitLoops";7;448
"sun.misc.PerfCounter";7;168
"com.jprofiler.agent.n";7;112
"java.util.Collections$UnmodifiableRandomAccessList";7;168
"scala.concurrent.forkjoin.ForkJoinTask[ ]";7;229488
"sun.management.counter.Units";7;168
"com.siigna.module.cad.create.Input$$anonfun$1";7;112
"java.util.Properties";7;336
"java.nio.DirectLongBufferU";7;392
"sun.java2d.loops.RenderLoops";7;448
"com.siigna.util.event.MouseDrag";6;192
"sun.java2d.StateTrackableDelegate$1";6;96
"java.awt.image.BufferedImage";6;288
"sun.font.FontFamily";6;240
"com.siigna.app.view.Graphics$$anonfun$colorDraw$1";6;96
"sun.font.SunFontManager$FamilyDescription";6;288
"sun.java2d.pipe.AAShapePipe";6;96
"sun.reflect.generics.tree.MethodTypeSignature";6;192
"sun.awt.image.IntegerInterleavedRaster";6;624
"sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl";6;144
"sun.reflect.generics.repository.MethodRepository";6;240
"java.awt.image.SinglePixelPackedSampleModel";6;288
"sun.reflect.generics.tree.TypeSignature[ ]";6;96
"sun.reflect.generics.scope.MethodScope";6;144
"sun.awt.image.BufImgSurfaceData";6;432
"sun.java2d.pipe.TextRenderer";6;96
"sun.java2d.d3d.D3DMaskBlit";6;336
"java.util.concurrent.atomic.AtomicLong";6;144
"scala.concurrent.forkjoin.LinkedTransferQueue$PaddedAtomicReference";6;480
"java.lang.RuntimePermission";6;144
"scala.collection.parallel.immutable.LazyParVectorCombiner$$anonfun$result$1";6;96
"java.awt.geom.Rectangle2D$Double";6;288
"java.awt.image.DirectColorModel";6;864
"java.awt.image.DataBufferInt";6;288
"com.siigna.app.model.Model$$anonfun$$init$$1";5;80
"sun.java2d.pipe.Region";5;200
"java.net.InetAddress$CacheEntry";5;120
"java.lang.annotation.ElementType[ ]";5;168
"sun.management.MemoryPoolImpl$PoolSensor";5;200
"java.lang.management.MemoryUsage";5;240
"com.siigna.module.base.radialmenu.category.FileCategory$$anonfun$2 [2 classes]";5;240
"java.util.Stack";5;160
"sun.net.www.protocol.jar.URLJarFile";5;400
"java.util.Collections$SynchronizedSet";5;120
"sun.java2d.loops.DrawParallelogram";5;240
"sun.nio.fs.WindowsPathType";5;120
"com.siigna.app.model.Model";5;160
"sun.awt.FontDescriptor[ ][ ]";5;160
"java.net.InetAddress[ ]";5;120
"sun.management.MemoryPoolImpl";5;280
"sun.management.MemoryPoolImpl$CollectionSensor";5;200
"sun.java2d.loops.FillParallelogram";5;240
"java.util.Collections$UnmodifiableMap";5;160
"java.security.Permissions";5;160
"java.io.FileInputStream";5;160
"java.awt.AWTKeyStroke[ ]";4;80
"java.awt.geom.Path2D$Float$TxIterator";4;128
"java.awt.Dialog$ModalityType";4;96
"java.util.Collections$SingletonMap";4;160
"javax.management.StandardEmitterMBean";4;128
"com.siigna.module.cad.create.InputRequest";4;224
"java.net.InetAddress";4;128
"java.nio.HeapByteBuffer";4;192
"sun.reflect.annotation.AnnotationType";4;128
"java.lang.String[ ][ ]";4;216
"java.awt.Queue";4;96
"javax.management.MBeanNotificationInfo";4;128
"com.jprofiler.agent.ThreadManager";4;320
"java.awt.BufferCapabilities$FlipContents";4;96
"sun.misc.Cleaner";4;160
"com.siigna.module.base.radialmenu.EventSSE$ [2 classes]";4;80
"java.util.Collections$UnmodifiableSet";4;64
"sun.net.www.protocol.jar.Handler";4;64
"com.siigna.module.cad.create.Input$$anonfun$1$$anonfun$2";4;64
"java.math.MathContext";4;96
"sun.java2d.SunGraphics2D";4;832
"com.jprofiler.agent.probe.l";4;96
"com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$ArrayMapping";4;128
"scala.actors.Reactor$$anonfun$2";4;64
"java.awt.geom.GeneralPath";4;128
"com.jprofiler.agent.probe.a.a.t[ ]";4;128
"scala.collection.Parallelizable$$anonfun$par$1";4;64
"com.jprofiler.api.agent.probe.Unit";4;64
"java.util.IdentityHashMap";4;160
"sun.reflect.DelegatingMethodAccessorImpl";4;64
"java.math.BigInteger[ ]";4;440
"com.siigna.app.model.Selection";4;96
"com.siigna.module.cad.create.Vector2DGuide";4;64
"com.siigna.app.model.shape.PolylineShape$$anonfun$8";4;64
"com.siigna.module.base.radialmenu.EventS$ [2 classes]";4;200
"com.siigna.app.view.Graphics";4;96
"sun.misc.URLClassPath";4;160
"sun.java2d.StateTrackable$State";4;96
"com.siigna.app.view.Graphics$$anonfun$1";4;64
"java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject";4;96
"java.beans.PropertyChangeSupport$PropertyChangeListenerMap";4;64
"com.jprofiler.api.agent.ProbeObjectType";3;48
"sun.java2d.pipe.PixelToShapeConverter";3;48
"com.siigna.module.cad.create.InputTwoValues";3;336
"sun.java2d.pipe.hw.ExtendedBufferCapabilities$VSyncType";3;72
"java.lang.annotation.RetentionPolicy";3;72
"java.beans.PropertyChangeSupport";3;72
"javax.management.openmbean.OpenMBeanOperationInfoSupport";3;168
"java.io.FilePermissionCollection";3;72
"sun.nio.fs.NativeBuffer";3;96
"scala.util.DynamicVariable$$anon$1";3;72
"java.awt.ComponentOrientation";3;48
